"nba_id","active","first_year","last_year","team_id","veteran","first_name","last_name"
"78187","0","1953","1953","0","Y","Smith","Ed"
"78188","0","1971","1978","0","Y","Smith","Elmore"
"78189","0","1970","1971","0","Y","Smith","Garfield"
"78190","0","1968","1975","0","Y","Smith","Greg"
"202962","0","2011","2015","0","Y","Smith","Greg"
"202397","1","2010","2017","1610612765","Y","Smith","Ish"
"2747","1","2004","2017","1610612739","Y","Smith","JR"
"2074","0","2000","2004","0","Y","Smith","Jabari"
"201160","1","2007","2017","1610612764","Y","Smith","Jason"
"202536","0","2011","2011","0","Y","Smith","Jerry"
"78191","0","1981","1982","0","Y","Smith","Jim"
"693","0","1995","2010","0","Y","Smith","Joe"
"2746","0","2004","2015","0","Y","Smith","Josh"
"78192","0","1986","1986","0","Y","Smith","Keith"
"181","0","1987","1996","0","Y","Smith","Kenny"
"78194","0","1991","1993","0","Y","Smith","Labradford"
"78195","0","1980","1992","0","Y","Smith","Larry"
"1910","0","2001","2003","0","Y","Smith","Leon"
"63","0","1994","2000","0","Y","Smith","Michael"
"78197","0","1989","1994","0","Y","Smith","Michael"
"2065","0","2000","2000","0","Y","Smith","Mike"
"202701","0","2011","2012","0","Y","Smith","Nolan"
"78198","0","1986","1991","0","Y","Smith","Otis"
"78199","0","1974","1982","0","Y","Smith","Phil"
"78200","0","1971","1982","0","Y","Smith","Randy"
"78201","0","1992","1993","0","Y","Smith","Reggie"
"78204","0","1977","1984","0","Y","Smith","Robert"
"203893","0","2014","2015","0","Y","Smith","Russ"
"78205","0","1978","1979","0","Y","Smith","Sammy"
"120","0","1991","2004","0","Y","Smith","Steven"
"200848","0","2006","2006","0","Y","Smith","Steven"
"1478","0","1996","1996","0","Y","Smith","Stevin"
"2604","0","2003","2004","0","Y","Smith","Theron"
"380","0","1990","2000","0","Y","Smith","Tony"
"78208","0","1976","1979","0","Y","Smith","Willie"
"1628372","1","2017","2017","1610612742","N","Smith Jr.","Dennis"
"22","0","1988","1999","0","Y","Smits","Rik"
"1091","0","1985","1991","0","Y","Smrek","Mike"
"78212","0","1953","1953","0","Y","Smyth","Joe"
"203503","1","2013","2017","1610612749","Y","Snell","Tony"
"727","0","1995","2007","0","Y","Snow","Eric"
"78213","0","1966","1978","0","Y","Snyder","Dick"
"2745","0","2004","2007","0","Y","Snyder","Kirk"
"78214","0","1949","1949","0","Y","Sobek","George"
"78215","0","1975","1985","0","Y","Sobers","Ricky"
"78216","0","1956","1959","0","Y","Sobie","Ron"
"78217","0","1974","1976","0","Y","Sojourner","Mike"
"2226","0","2001","2008","0","Y","Solomon","Will"
"78219","0","1965","1965","0","Y","Somerset","Willie"
"2443","0","2003","2010","0","Y","Songaila","Darius"
"78220","0","1970","1972","0","Y","Sorenson","Dave"
"203480","0","2013","2013","0","Y","Southerland","James"
"78221","0","1946","1946","0","Y","Sovran","Gino"
"2776","0","2004","2006","0","Y","Sow","Pape"
"78222","0","1979","1983","0","Y","Spanarkel","Jim"
"2779","0","2006","2006","0","Y","Spanoulis","Vassilis"
"78223","0","1957","1959","0","Y","Sparrow","Guy"
"600009","0","1980","1991","0","Y","Sparrow","Rory"
